Frame,Name,Distance,Time
0,abdo,0.739,12:28:22
0,moussa,0.615,12:28:22
5,abdo,0.629,12:28:22
5,moussa,0.433,12:28:23
10,abdo,0.572,12:28:23
10,moussa,0.513,12:28:23
15,abdo,0.65,12:28:24
15,moussa,0.508,12:28:24
20,abdo,0.666,12:28:24
20,moussa,0.539,12:28:24
25,abdo,0.639,12:28:25
25,moussa,0.58,12:28:25
30,abdo,0.642,12:28:25
30,moussa,0.52,12:28:26
35,abdo,0.613,12:28:26
35,moussa,0.553,12:28:26
40,abdo,0.697,12:28:27
40,moussa,0.603,12:28:27
45,abdo,0.535,12:28:27
45,moussa,0.678,12:28:27
50,moussa,0.573,12:28:28
50,abdo,0.626,12:28:28
55,abdo,0.623,12:28:28
55,moussa,0.866,12:28:28
60,abdo,0.706,12:28:29
60,moussa,1.04,12:28:29
65,abdo,0.626,12:28:29
65,moussa,1.019,12:28:29
70,abdo,0.608,12:28:30
70,moussa,0.691,12:28:30
75,moussa,0.573,12:28:30
75,abdo,0.647,12:28:30
80,moussa,0.611,12:28:31
80,abdo,0.62,12:28:31
85,abdo,0.565,12:28:31
85,moussa,0.573,12:28:31
90,abdo,0.649,12:28:32
90,moussa,0.626,12:28:32
95,abdo,0.642,12:28:32
95,moussa,0.64,12:28:33
100,moussa,0.586,12:28:33
100,abdo,0.618,12:28:33
105,moussa,0.664,12:28:34
105,abdo,0.778,12:28:34
110,abdo,0.677,12:28:34
110,moussa,0.663,12:28:35
115,moussa,0.593,12:28:35
115,abdo,0.731,12:28:35
120,abdo,0.596,12:28:36
120,moussa,0.479,12:28:36
125,abdo,0.579,12:28:36
125,moussa,0.541,12:28:36
